date,px_last,px_high,px_low,px_close_1d,volume,aja
2022-01-03,65276.7734375,65276.7734375,65276.7734375,65276.7734375,118,50003.390625
2022-01-04,65555.734375,66020.6640625,65555.734375,65555.734375,1822,50217.09375
2022-01-05,65555.734375,65555.734375,65555.734375,65555.734375,186,50217.09375
2022-01-06,65379.05859375,66020.6640625,65379.05859375,65379.05859375,2790,50081.75390625
2022-01-07,67322.484375,67322.484375,67322.484375,67322.484375,654,51570.4453125
2022-01-10,67322.484375,67322.484375,67322.484375,67322.484375,0,51570.4453125
2022-01-11,68810.2734375,68810.2734375,67368.9765625,68810.2734375,9494,52710.13671875
2022-01-12,66392.6171875,68810.2734375,66392.6171875,66392.6171875,4959,50858.15234375
2022-01-13,66401.9140625,67415.46875,66401.9140625,66401.9140625,5476,50865.2890625
2022-01-14,65816.09375,67861.8046875,65816.09375,65816.09375,28733,50416.53125
2022-01-17,65816.09375,65816.09375,65816.09375,65816.09375,0,50416.53125
2022-01-18,65816.09375,65816.09375,65816.09375,65816.09375,0,50416.53125
2022-01-19,65816.09375,65816.09375,65816.09375,65816.09375,0,50416.53125
2022-01-20,70205.078125,71423.203125,70205.078125,70205.078125,23293,53778.5703125
2022-01-21,70670.0078125,71413.90625,69740.140625,70670.0078125,30216,54134.73046875
2022-01-24,70763,70809.4921875,70670.0078125,70763,3569,54205.95703125
2022-01-25,71395.3046875,71395.3046875,70670.0078125,71395.3046875,1630,54690.31640625
2022-01-26,69768.0390625,71413.90625,69768.0390625,69768.0390625,51122,53638.01953125
2022-01-27,70205.078125,70205.078125,69833.125,70205.078125,2116,53974
2022-01-28,70205.078125,70670.0078125,69833.125,70205.078125,10210,53974
2022-01-31,71413.90625,71599.875,71125.6484375,71413.90625,15376,54903.37890625
2022-02-01,72157.796875,72157.796875,71413.90625,72157.796875,10053,55475.2734375
2022-02-02,69768.0390625,71413.90625,69768.0390625,69768.0390625,6533,53638.01953125
2022-02-03,70391.046875,71599.875,69814.53125,70391.046875,2332,54116.98046875
2022-02-04,71581.28125,71581.28125,70391.046875,71581.28125,5942,55032.02734375
2022-02-07,70697.90625,71953.2265625,70670.0078125,70697.90625,47702,54352.90234375
2022-02-08,71116.34375,71134.9453125,70763,71116.34375,17352,54674.5859375
2022-02-09,70911.7734375,70911.7734375,69972.609375,70911.7734375,3938,54517.31640625
2022-02-10,70670.0078125,70967.5703125,70177.1796875,70670.0078125,5399,54331.44140625
2022-02-11,70670.0078125,70670.0078125,69777.3359375,70670.0078125,5673,54331.44140625
2022-02-14,69768.0390625,69842.4296875,69768.0390625,69768.0390625,3798,53638.01953125
2022-02-15,69712.2421875,69740.140625,68931.15625,69712.2421875,1745,53595.125
2022-02-16,69275.2109375,70670.0078125,69275.2109375,69275.2109375,17049,53259.11328125
2022-02-17,70484.0390625,70484.0390625,69554.1640625,70484.0390625,2896,54188.48828125
