date,px_last,px_high,px_low,px_close_1d,volume,aja
2022-01-03,10310,10380,9950,10310,21177,6599.90478515625
2022-01-04,10330,10330,10300,10330,18755,6612.70751953125
2022-01-05,10330,10430,10330,10330,29196,6612.70751953125
2022-01-06,10400,10400,9660,10400,42964,6657.51708984375
2022-01-07,10400,10400,10380,10400,3606,6657.51708984375
2022-01-10,10400,10400,10400,10400,0,6657.51708984375
2022-01-11,10400,10410,10390,10400,30954,6657.51708984375
2022-01-12,10140,10300,10100,10140,48765,6491.0791015625
2022-01-13,10100,10290,10100,10100,41048,6465.4736328125
2022-01-14,10100,10120,10050,10100,27831,6465.4736328125
2022-01-17,10100,10100,10100,10100,0,6465.4736328125
2022-01-18,10100,10100,10100,10100,0,6465.4736328125
2022-01-19,10100,10100,10100,10100,0,6465.4736328125
2022-01-20,11000,11300,11000,11000,88623,7041.60546875
2022-01-21,11120,11200,11010,11120,32126,7118.42236328125
2022-01-24,10900,11000,10900,10900,24067,6977.5908203125
2022-01-25,11000,11000,10700,11000,79335,7041.60546875
2022-01-26,11100,11290,11000,11100,40287,7105.6201171875
2022-01-27,11200,11200,11000,11200,26434,7169.63427734375
2022-01-28,11170,11200,11170,11170,16894,7150.43017578125
2022-01-31,11180,11200,11010,11180,18956,7156.83154296875
2022-02-01,11110,11180,11060,11110,31226,7112.021484375
2022-02-02,11090,11190,11090,11090,14583,7099.2177734375
2022-02-03,11050,11300,11050,11050,26685,7073.61279296875
2022-02-04,11060,11100,11060,11060,12186,7080.01416015625
2022-02-07,11190,11190,11000,11190,24612,7163.232421875
2022-02-08,11030,11030,11030,11030,2917,7060.8095703125
2022-02-09,11040,11100,11040,11040,15253,7067.21044921875
2022-02-10,10700,11000,10640,10700,18318,6849.5615234375
2022-02-11,10830,10980,10800,10830,26727,6932.77978515625
2022-02-14,10860,11080,10850,10860,3786,6951.984375
2022-02-15,10910,11000,10910,10910,15142,6983.9921875
2022-02-16,10920,11090,10920,10920,25188,6990.3935546875
2022-02-17,10910,11100,10910,10910,47653,6983.9921875
2022-02-18,11400,11900,11290,11400,69846,7297.6630859375
2022-02-21,11570,11570,11450,11570,8303,7406.48876953125
2022-02-22,11700,11700,11550,11700,42501,7489.70703125
2022-02-23,11300,11510,11300,11300,129300,7233.6484375
2022-02-24,11300,11400,11200,11300,11542,7233.6484375
2022-02-25,11390,11400,11200,11390,7763,7291.26220703125
2022-02-28,11390,11650,11390,11390,36442,7291.26220703125
2022-03-01,11320,11350,11320,11320,31537,7246.4521484375
2022-03-02,11400,11440,11400,11400,11831,7297.6630859375
2022-03-03,11140,11670,11140,11140,116131,7131.22509765625
2022-03-04,11260,11300,11240,11260,20409,7208.04345703125
